Medium in data base,,,,,current NAME ,new NAME,Salt,Stress Agent,Carbon sources,Gluconeogenic,Nitrogen sources,Notes,Richness score,Reference,,,,,,,,,,,,,
"ABT0.5% casamino acids: 12,",,,,,defined,,many,no,amino acid,yes,salt and amino acid,,,https://www.sciencedirect.com/science/article/pii/S0022283667800706,,,,,,,,,,,,,
"MOPS10 mM glucose, 2mM pyruvate, 3% Survanta (Abbott Nutrition): 6,",,,,,defined,,many,detergent,glucose,both,little,Survanta = lung surfectant,,10.1002/9780471729259.mc06e01s25,,,,,,,,,,,,,
"PPGAS: 6,",,,,,defined,,few,tris,glucose and amino acid,no,salt and amino acid,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1273001/,,,,,,,,,,,,,
"Minimal medium P: 13,",,,,,defined,,few,no,no,nan,no,,,https://www.sciencedirect.com/science/article/pii/0005278772902353,,,,,,,,,,,,,
"MOPS0.5% casamino acids, 0.5% glucose: 4,",,,,,defined,,many,no,glucose and amino acid,both,amino acid,,,,,,,,,,,,,,,,
"MMC: 4,",,,,,defined,,few,no,amino acid,yes,amino acid,,,sci-hub.se/10.1139/m75-088,,,,,,,,,,,,,
"MOPS20mM pyruvate: 20,",,,,,defined,,many,no,pyruvate,yes,little,,,,,,,,,,,,,,,,
"M9, 0.2% dextrose: 6,",,,,,defined,,few,no,dextrose,no,salt,,,,,,,,,,,,,,,,
"MOPS10 mM Glucose: 9,",,,,,defined,,many,no,glucose,no,little,,,,,,,,,,,,,,,,
"PBS: 8,",,,,,defined,,few,no,no,nan,no,,,,,,,,,,,,,,,,
"ABT minimal medium0.5% glucose: 10,",,,,,defined,,many,no,glucose,no,salt,,,,,,,,,,,,,,,,
"PBM0.2 g/l glucose: 10,",,,,,defined,,many,no,glucose,no,salt,,,the magic book,,,,,,,,,,,,,
"MOPS: 8,",,,,,defined,,many,no,no,nan,little,,,,,,,,,,,,,,,,
"M9: 24,",,,,,defined,,few,no,glucose,no,salt,,,,,,,,,,,,,,,,
"BBM: 4,",,,,,defined,,few,no,glucose,no,salt,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4775964/,,,,,,,,,,,,,
"Minimal medium P10mM L-glutamat: 12,",,,,,defined,,few,no,amino acid,yes,amino acid,,,,,,,,,,,,,,,,
"Minimal medium25 mM succinate: 20,",,,,,defined,,few,tris,succinate and amino acid,yes,salt and amino acid,,,https://pubmed.ncbi.nlm.nih.gov/8432711/,,,,,,,,,,,,,
